,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
65,0.002161860466003418,5.614757537841797e-05,0.0,0.0,mae,None,auto,1,18,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 18}",,,,,96
66,0.002150297164916992,3.0994415283203125e-05,0.0,0.0,mae,None,auto,2,2,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2}",,,,,95
67,0.0021704435348510742,5.364418029785156e-06,0.0,0.0,mae,None,auto,2,19,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 19}",,,,,94
68,0.0028645992279052734,0.0005891323089599609,0.0,0.0,mae,None,auto,2,18,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 18}",,,,,93
69,0.002191901206970215,2.2649765014648438e-06,0.0,0.0,mae,None,auto,15,2,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'auto', 'min_samples_leaf': 15, 'min_samples_split': 2}",,,,,92
70,0.002196073532104492,4.172325134277344e-05,0.0,0.0,mae,None,auto,15,19,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'auto', 'min_samples_leaf': 15, 'min_samples_split': 19}",,,,,73
71,0.00222623348236084,1.6570091247558594e-05,0.0,0.0,mae,None,auto,15,18,"{'criterion': 'mae', 'max_depth': 'None', 'max_features': 'auto', 'min_samples_leaf': 15, 'min_samples_split': 18}",,,,,72
72,0.0036423206329345703,0.0009329319000244141,0.0,0.0,mae,100,None,1,2,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2}",,,,,71
73,0.00249481201171875,1.8835067749023438e-05,0.0,0.0,mae,100,None,1,19,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'None', 'min_samples_leaf': 1, 'min_samples_split': 19}",,,,,53
74,0.0022088289260864258,1.1920928955078125e-07,0.0,0.0,mae,100,None,1,18,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'None', 'min_samples_leaf': 1, 'min_samples_split': 18}",,,,,51
75,0.0022382736206054688,5.412101745605469e-05,0.0,0.0,mae,100,None,2,2,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2}",,,,,50
76,0.0031033754348754883,0.000815272331237793,0.0,0.0,mae,100,None,2,19,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 19}",,,,,49
77,0.0022395849227905273,3.2067298889160156e-05,0.0,0.0,mae,100,None,2,18,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 18}",,,,,48
78,0.002141714096069336,1.9073486328125e-05,0.0,0.0,mae,100,None,15,2,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 2}",,,,,47
79,0.0021115541458129883,1.895427703857422e-05,0.0,0.0,mae,100,None,15,19,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 19}",,,,,46
80,0.0027071237564086914,0.00043332576751708984,0.0,0.0,mae,100,None,15,18,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 18}",,,,,52
81,7.674408197402954,0.26915478706359863,0.003435850143432617,1.239776611328125e-05,mae,100,auto,1,2,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9854643484911946,0.9866593570419334,0.986061852766564,0.0005975042753694204,19
82,6.643656015396118,1.1014137268066406,0.0023202896118164062,0.0003573894500732422,mae,100,auto,1,19,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 19}",0.9828546433912473,0.9857381039184459,0.9842963736548466,0.0014417302635992835,23
83,4.84010636806488,0.17800867557525635,0.0020412206649780273,2.396106719970703e-05,mae,100,auto,1,18,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 18}",0.9840123556653277,0.9861543527026432,0.9850833541839854,0.0010709985186577176,21
84,7.568773150444031,0.2646595239639282,0.003087162971496582,2.2649765014648438e-06,mae,100,auto,2,2,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9882736025240543,0.988385396153928,0.9883294993389911,5.5896814936839956e-05,13
85,6.726879835128784,1.0011465549468994,0.0023158788681030273,0.0003217458724975586,mae,100,auto,2,19,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 19}",0.985466430469076,0.9874444944640023,0.9864554624665391,0.0009890319974631412,17
86,4.818779706954956,0.17194676399230957,0.0020465850830078125,1.2636184692382812e-05,mae,100,auto,2,18,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 18}",0.9853199830371773,0.9880181167426253,0.9866690498899013,0.0013490668527240124,15
87,4.671992540359497,0.18291616439819336,0.0019246339797973633,7.236003875732422e-05,mae,100,auto,15,2,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'auto', 'min_samples_leaf': 15, 'min_samples_split': 2}",0.9773835621531953,0.9778327236512032,0.9776081429021992,0.0002245807490039442,31
88,7.596065044403076,0.06334114074707031,0.0028389692306518555,0.0004106760025024414,mae,100,auto,15,19,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'auto', 'min_samples_leaf': 15, 'min_samples_split': 19}",0.9773835621531953,0.9778327236512032,0.9776081429021992,0.0002245807490039442,31
89,7.303992867469788,0.3631385564804077,0.002468109130859375,4.7206878662109375e-05,mae,100,auto,15,18,"{'criterion': 'mae', 'max_depth': 100, 'max_features': 'auto', 'min_samples_leaf': 15, 'min_samples_split': 18}",0.9773835621531953,0.9778327236512032,0.9776081429021992,0.0002245807490039442,31
90,0.003718137741088867,0.0001480579376220703,0.0,0.0,mae,60,None,1,2,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2}",,,,,62
91,0.0033777952194213867,5.8531761169433594e-05,0.0,0.0,mae,60,None,1,19,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'None', 'min_samples_leaf': 1, 'min_samples_split': 19}",,,,,55
92,0.003258347511291504,7.748603820800781e-06,0.0,0.0,mae,60,None,1,18,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'None', 'min_samples_leaf': 1, 'min_samples_split': 18}",,,,,69
93,0.0032579898834228516,2.6941299438476562e-05,0.0,0.0,mae,60,None,2,2,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2}",,,,,68
