,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
16,0.03480712572733561,0.00031682724446182204,1.0416018962860107,0.0073889884199091,auto,60,minkowski,5,uniform,"{'algorithm': 'auto', 'leaf_size': 60, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
17,0.03455440203348795,0.0008350314155777089,1.0543839931488037,0.010415380140311944,auto,60,minkowski,5,distance,"{'algorithm': 'auto', 'leaf_size': 60, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
18,0.034776926040649414,0.0004625793970257132,1.0915881792704265,0.009322388135637693,auto,60,minkowski,6,uniform,"{'algorithm': 'auto', 'leaf_size': 60, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
19,0.03446316719055176,0.0004963456822439668,1.110188404719035,0.007957127126070657,auto,60,minkowski,6,distance,"{'algorithm': 'auto', 'leaf_size': 60, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
20,0.03449336687723795,0.00031175648006045157,1.0529685020446777,0.007159662540303089,auto,60,euclidean,5,uniform,"{'algorithm': 'auto', 'leaf_size': 60, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
21,0.03473130861918131,0.0005219990017960637,1.052651087443034,0.012462651945323203,auto,60,euclidean,5,distance,"{'algorithm': 'auto', 'leaf_size': 60, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
22,0.034420172373453774,0.0005126751738552821,1.0960909525553386,0.015088496463505633,auto,60,euclidean,6,uniform,"{'algorithm': 'auto', 'leaf_size': 60, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
23,0.03465882937113444,0.0004312764009984486,1.0949735641479492,0.0038792140191990436,auto,60,euclidean,6,distance,"{'algorithm': 'auto', 'leaf_size': 60, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
24,0.03837450345357259,0.00012391427041553847,0.9670361677805582,0.015479756910817264,kd_tree,30,minkowski,5,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
25,0.037580649058024086,0.0002430570583803212,0.9790803591410319,0.014450062186074144,kd_tree,30,minkowski,5,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
26,0.037956953048706055,0.00035764423968673585,1.0157374540964763,0.016734683042229567,kd_tree,30,minkowski,6,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
27,0.03800797462463379,0.0005253819781030614,1.0175758997599285,0.010038871306268416,kd_tree,30,minkowski,6,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
28,0.03782534599304199,0.0004936301464925316,0.9661784172058105,0.016992935853128145,kd_tree,30,euclidean,5,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
29,0.03749330838521322,0.0004565943550978201,0.9712893962860107,0.01842277971374995,kd_tree,30,euclidean,5,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
30,0.0378572940826416,0.00027574885846116655,1.022356907526652,0.015973669503597025,kd_tree,30,euclidean,6,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
31,0.03760361671447754,0.0005343685706620717,1.019254207611084,0.009779376964512213,kd_tree,30,euclidean,6,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
32,0.03817391395568848,0.00046131610808751276,0.9682425657908121,0.008149126796531115,kd_tree,40,minkowski,5,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
33,0.0376131534576416,0.0005277905998836736,0.9628281593322754,0.017645713427145812,kd_tree,40,minkowski,5,distance,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
34,0.038315137227376304,0.00043779391896001265,1.0193272431691487,0.015603611723289364,kd_tree,40,minkowski,6,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
35,0.038066466649373375,0.00021561805570350802,1.0228411356608074,0.013627342099020811,kd_tree,40,minkowski,6,distance,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
36,0.037593444188435875,0.0007961156423503732,0.9656341870625814,0.011074631740468653,kd_tree,40,euclidean,5,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
37,0.037822564442952476,0.000589662098866611,0.9664503733317057,0.013608036864900839,kd_tree,40,euclidean,5,distance,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
38,0.03824385007222494,0.0003556251788728258,1.0229818026224773,0.01394967391363893,kd_tree,40,euclidean,6,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
39,0.03754099210103353,0.0005542930756638065,1.0179951190948486,0.02232499165118747,kd_tree,40,euclidean,6,distance,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
40,0.03487102190653483,0.0006514229219266146,1.0576299826304119,0.010994708884535591,kd_tree,60,minkowski,5,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 60, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
41,0.03430954615275065,0.00021775299613633833,1.0547943909962971,0.017903776439912054,kd_tree,60,minkowski,5,distance,"{'algorithm': 'kd_tree', 'leaf_size': 60, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
42,0.034749905268351235,0.0005853491032492151,1.109707196553548,0.011243458307287435,kd_tree,60,minkowski,6,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 60, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
43,0.03371493021647135,0.00047245637211413096,1.097530206044515,0.014927023676627451,kd_tree,60,minkowski,6,distance,"{'algorithm': 'kd_tree', 'leaf_size': 60, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
44,0.03414336840311686,0.0008055518108681057,1.0476905504862468,0.01069015453763046,kd_tree,60,euclidean,5,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 60, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.8884760784929585,0.8979804488700505,0.8947141229233337,0.8937235500954476,0.003942857674474658,37
45,0.03469125429789225,0.00034068501283647295,1.0554988384246826,0.014409325064314334,kd_tree,60,euclidean,5,distance,"{'algorithm': 'kd_tree', 'leaf_size': 60, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.8927203428318276,0.9018526874441326,0.8980972372802906,0.8975567558520835,0.003747801102882577,13
46,0.034670352935791016,0.00019308225257610016,1.0596873760223389,0.009720514801445182,kd_tree,60,euclidean,6,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 60, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.8891135711415437,0.8984332960993362,0.8948730882311536,0.8941399851573445,0.0038399130554260036,25
47,0.034465630849202476,0.0005990094711695496,0.9911315441131592,0.03899113976095697,kd_tree,60,euclidean,6,distance,"{'algorithm': 'kd_tree', 'leaf_size': 60, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}",0.8935892453960319,0.9023875707569031,0.8983412767937091,0.8981060309822148,0.0035957509862620408,1
